,event_index,event_timestamp,input_device,event_type,event_code,event_value
442,28,83770.808497,/dev/input/event2:,0003,0036,000056dd
443,28,83770.808497,/dev/input/event2:,0000,0000,00000000
444,28,83770.817173,/dev/input/event2:,0003,0036,00005610
445,28,83770.817173,/dev/input/event2:,0000,0000,00000000
446,28,83770.824976,/dev/input/event2:,0003,0036,00005587
447,28,83770.824976,/dev/input/event2:,0000,0000,00000000
448,28,83770.838124,/dev/input/event2:,0003,0036,00005443
449,28,83770.838124,/dev/input/event2:,0000,0000,00000000
450,28,83770.841453,/dev/input/event2:,0003,0036,000052ee
451,28,83770.841453,/dev/input/event2:,0000,0000,00000000
452,28,83770.848137,/dev/input/event2:,0003,0036,000051dd
453,28,83770.848137,/dev/input/event2:,0000,0000,00000000
454,28,83770.856562,/dev/input/event2:,0003,0036,00005087
455,28,83770.856562,/dev/input/event2:,0000,0000,00000000
